IoU,Dice,Sensitivity,Specificity,Precision,Accuracy
0.9391108,0.96859944,0.9677955,0.9969082,0.9694047,0.9942322
0.7454405,0.85415745,0.82735354,0.95621186,0.88275623,0.9194946
0.7043522,0.8265336,0.8561873,0.9886099,0.79886526,0.9819641
0.7701437,0.8701482,0.7819263,0.99635303,0.9808094,0.9550781
0.92741114,0.9623387,0.9393316,0.9991889,0.9865011,0.995636
0.8753028,0.9335056,0.9907635,0.98440456,0.88250417,0.9850769
0.9544918,0.9767161,0.990509,0.99060434,0.9633021,0.9905853
0.88872135,0.94108254,0.9947679,0.98813975,0.89289504,0.988739
0.41304448,0.58461636,0.4225691,0.9889691,0.948254,0.8056946
0.5300498,0.692853,0.53107095,0.9991389,0.9963855,0.8545532
0.8418188,0.91411686,0.88454664,0.992545,0.9457325,0.978714
0.83279955,0.9087732,0.86261725,0.99448884,0.9601477,0.9768982
0.9117567,0.95384175,0.9899304,0.9777436,0.92029184,0.9802551
0.5831039,0.736659,0.9984911,0.93729454,0.5836181,0.9422455
0.9340285,0.9658891,0.982044,0.9807172,0.9502571,0.9810791
0.92346257,0.96020854,0.96260595,0.99358803,0.957823,0.9895172
0.63880515,0.77959865,0.6802395,0.9696827,0.9129484,0.8774872
0.9228821,0.9598946,0.93325746,0.9986498,0.988097,0.9916382
0.8820827,0.9373474,0.9157393,0.9988688,0.96,0.9964752
0.904795,0.9500182,0.93366796,0.9985816,0.9669514,0.9958191
0.6679301,0.800909,0.787602,0.9447882,0.81467336,0.9077606
0.89053327,0.9420974,0.976647,0.9722778,0.9099088,0.97325134
0.7207633,0.8377251,0.99580026,0.9425778,0.72296095,0.9495392
0.23843277,0.38505563,0.24154782,0.9942395,0.9486878,0.763916
0.9192727,0.9579386,0.97156036,0.99639803,0.94469357,0.9949188
0.82649845,0.9050086,0.9276268,0.9789927,0.8834672,0.97146606
0.96482307,0.9820966,0.9790345,0.9975638,0.985178,0.9949341
0.68214273,0.8110402,0.68239003,0.99973655,0.999469,0.8661804
0.8896115,0.94158137,0.93612915,0.9950198,0.9470975,0.9898987
0.92619354,0.96168274,0.9971023,0.9914885,0.9286932,0.9920502
0.4789768,0.6477137,0.9848819,0.8866793,0.48252448,0.89619446
0.86055666,0.9250529,0.99934703,0.9920926,0.8610408,0.99243164
0.28800896,0.44721577,0.28995863,0.99940217,0.9771863,0.9418335
0.64178234,0.7818117,0.9319895,0.90063095,0.67331576,0.9062805
